battle_index,step_index,player,category,subcategory
0,0,p1,attack,neutral_attack
0,1,p1,attack,neutral_attack
0,2,p1,attack,neutral_attack
0,3,p1,attack,neutral_attack
0,4,p1,attack,neutral_attack
0,5,p1,attack,neutral_attack
0,6,p1,switch,forced_switch
0,7,p1,attack,neutral_attack
0,8,p1,attack,neutral_attack
0,9,p1,attack,neutral_attack
0,10,p1,attack,neutral_attack
0,11,p1,attack,neutral_attack
0,12,p1,attack,neutral_attack
5,0,p1,attack,super_effective_attack
5,1,p1,attack,neutral_attack
5,2,p1,attack,neutral_attack
5,3,p1,attack,neutral_attack
5,4,p1,attack,neutral_attack
5,5,p1,attack,neutral_attack
5,6,p1,attack,neutral_attack
5,7,p1,attack,neutral_attack
5,8,p1,switch,no_move_options_switch
5,9,p1,attack,neutral_attack
5,10,p1,attack,neutral_attack
5,11,p1,attack,neutral_attack
5,12,p1,attack,neutral_attack
5,13,p1,attack,neutral_attack
5,14,p1,attack,neutral_attack
6,0,p1,attack,neutral_attack
6,1,p1,attack,neutral_attack
6,2,p1,attack,neutral_attack
6,3,p1,attack,neutral_attack
6,4,p1,attack,neutral_attack
6,5,p1,switch,forced_switch
6,6,p1,attack,neutral_attack
6,7,p1,attack,neutral_attack
6,8,p1,attack,neutral_attack
6,9,p1,attack,neutral_attack
6,10,p1,attack,neutral_attack
6,11,p1,attack,neutral_attack
6,12,p1,attack,neutral_attack
6,13,p1,switch,forced_switch
6,14,p1,attack,neutral_attack
6,15,p1,unknown,unparseable_move
6,16,p1,switch,forced_switch
6,17,p1,attack,neutral_attack
3,0,p1,attack,neutral_attack
3,1,p1,attack,neutral_attack
3,2,p1,attack,neutral_attack
3,3,p1,attack,neutral_attack
3,4,p1,attack,neutral_attack
3,5,p1,attack,neutral_attack
3,6,p1,attack,neutral_attack
3,7,p1,attack,neutral_attack
3,8,p1,attack,neutral_attack
3,9,p1,attack,neutral_attack
3,10,p1,attack,neutral_attack
3,11,p1,attack,neutral_attack
3,12,p1,attack,neutral_attack
3,13,p1,attack,neutral_attack
3,14,p1,attack,neutral_attack
3,15,p1,attack,neutral_attack
3,16,p1,attack,neutral_attack
3,17,p1,attack,neutral_attack
3,18,p1,attack,neutral_attack
3,19,p1,attack,neutral_attack
3,20,p1,attack,neutral_attack
3,21,p1,switch,forced_switch
3,22,p1,attack,neutral_attack
7,0,p1,attack,neutral_attack
7,1,p1,attack,neutral_attack
7,2,p1,attack,neutral_attack
7,3,p1,attack,neutral_attack
7,4,p1,attack,neutral_attack
7,5,p1,attack,neutral_attack
7,6,p1,attack,neutral_attack
7,7,p1,attack,neutral_attack
7,8,p1,attack,neutral_attack
7,9,p1,attack,neutral_attack
7,10,p1,attack,neutral_attack
7,11,p1,attack,neutral_attack
7,12,p1,switch,forced_switch
7,13,p1,attack,neutral_attack
7,14,p1,attack,neutral_attack
7,15,p1,attack,neutral_attack
7,16,p1,switch,forced_switch
7,17,p1,attack,neutral_attack
7,18,p1,attack,neutral_attack
7,19,p1,attack,neutral_attack
7,20,p1,attack,neutral_attack
7,21,p1,attack,neutral_attack
7,22,p1,attack,neutral_attack
